Year,Annual,Inflation Rate
1976,56.9,
1977,60.6,6.502636203866441
1978,65.2,7.590759075907583
1979,72.6,11.349693251533722
1980,82.4,13.498622589531696
1981,90.9,10.315533980582515
1982,96.5,6.160616061606161
1983,99.6,3.2124352331606154
1984,103.9,4.31726907630523
1985,107.6,3.561116458132818
1986,109.6,1.8587360594795488
1987,113.6,3.649635036496357
1988,118.3,4.137323943661975
1989,124.0,4.8182586644125225
1990,130.7,5.403225806451606
1991,136.2,4.20811017597551
1992,140.3,3.010279001468441
1993,144.5,2.9935851746258013
1994,148.2,2.560553633217988
1995,152.4,2.8340080971660075
1996,156.9,2.952755905511806
1997,160.5,2.294455066921608
1998,163.0,1.5576323987538832
1999,166.6,2.208588957055202
2000,172.2,3.361344537815114
2001,177.1,2.8455284552845628
2002,179.9,1.5810276679842028
2003,184.0,2.2790439132851503
2004,188.9,2.6630434782608736
2005,195.3,3.388035997882488
2006,201.6,3.2258064516129004
2007,207.342,2.84821428571429
2008,215.303,3.8395501152684863
2009,214.537,-0.3557776714676497
2010,218.056,1.6402765024214894
2011,224.939,3.1565285981582702
2012,229.594,2.0694499397614363
2013,232.957,1.4647595320435247
2014,236.736,1.6221877857286904
2015,237.017,0.11869762097864722
2016,240.007,1.2615128872612624
2017,245.12,2.130354531326173
2018,251.107,2.442477154046996
2019,255.657,1.811976567757978
2020,258.811,1.2336841940568721
2021,270.97,4.698022881562247
2022,292.655,8.00273092962318
2023,304.702,4.116451111376884
