srd_text,year,value
Alabama,1976,6.7666664
Alabama,1977,7.3166666
Alabama,1978,6.3166666
Alabama,1979,7.175
Alabama,1980,8.883333
Alabama,1981,10.533334
Alabama,1982,14.083333
Alabama,1983,13.833333
Alabama,1984,11.0
Alabama,1985,9.141666
Alabama,1986,9.708333
Alabama,1987,8.058333
Alabama,1988,7.1916666
Alabama,1989,7.0416665
Alabama,1990,7.498617
Alabama,1991,8.226939
Alabama,1992,8.430306
Alabama,1993,8.323632
Alabama,1994,6.9821405
Alabama,1995,6.8605533
Alabama,1996,6.3211665
Alabama,1997,5.8725443
Alabama,1998,5.167845
Alabama,1999,5.5555744
Alabama,2000,4.889451
Alabama,2001,5.521421
Alabama,2002,6.259849
Alabama,2003,6.3194833
Alabama,2004,5.9761033
Alabama,2005,4.788913
Alabama,2006,4.6046286
Alabama,2007,4.426211
Alabama,2008,6.141819
Alabama,2009,11.558234
Alabama,2010,10.97107
Alabama,2011,10.041812
Alabama,2012,8.34536
Alabama,2013,7.643504
Alabama,2014,7.1756005
Alabama,2015,6.4933724
Alabama,2016,6.1845536
Alabama,2017,4.730037
Alabama,2018,4.206093
Alabama,2019,3.810615
Alaska,1976,7.516667
Alaska,1977,9.866667
Alaska,1978,10.616667
Alaska,1979,9.275
Alaska,1980,9.65
Alaska,1981,9.383333
Alaska,1982,9.958333
Alaska,1983,9.933333
Alaska,1984,9.85
Alaska,1985,9.691667
Alaska,1986,10.933333
Alaska,1987,10.266666
Alaska,1988,8.783333
Alaska,1989,7.008333
Alaska,1990,7.893148
Alaska,1991,9.05546
Alaska,1992,9.33576
Alaska,1993,8.347537
Alaska,1994,8.650625
Alaska,1995,8.307917
Alaska,1996,8.655833
Alaska,1997,8.224167
Alaska,1998,7.9939585
Alaska,1999,8.024167
Alaska,2000,7.816875
Alaska,2001,8.158542
Alaska,2002,9.112708
Alaska,2003,9.6883335
Alaska,2004,9.465834
Alaska,2005,8.822083
Alaska,2006,8.431666
Alaska,2007,7.9408336
Alaska,2008,8.350417
Alaska,2009,9.328125
Alaska,2010,9.801541
Alaska,2011,9.993642
Alaska,2012,9.773411
Alaska,2013,9.68921
Alaska,2014,9.536801
Alaska,2015,8.828709
Alaska,2016,8.730058
Alaska,2017,8.529095
Alaska,2018,8.153564
Alaska,2019,8.560715
Arizona,1976,9.683333
Arizona,1977,8.216667
Arizona,1978,6.0333333
Arizona,1979,5.0916667
Arizona,1980,6.65
Arizona,1981,6.225
Arizona,1982,10.091666
Arizona,1983,8.825
Arizona,1984,5.175
Arizona,1985,6.3333335
Arizona,1986,6.925
Arizona,1987,6.45
Arizona,1988,6.366667
Arizona,1989,5.358333
Arizona,1990,6.902627
Arizona,1991,7.551839
Arizona,1992,9.795972
Arizona,1993,9.235376
Arizona,1994,9.234676
Arizona,1995,8.529072
Arizona,1996,9.172154
Arizona,1997,7.7422943
Arizona,1998,7.370548
Arizona,1999,7.050151
Arizona,2000,5.0154033
Arizona,2001,5.697066
Arizona,2002,6.7600245
Arizona,2003,6.471027
Arizona,2004,5.8639364
Arizona,2005,5.535941
Arizona,2006,5.056357
Arizona,2007,4.651467
Arizona,2008,7.019193
Arizona,2009,10.924083
Arizona,2010,12.171208
Arizona,2011,11.15628
Arizona,2012,10.040876
Arizona,2013,9.667536
Arizona,2014,8.413507
Arizona,2015,7.6945496
Arizona,2016,6.9398103
Arizona,2017,6.166825
Arizona,2018,6.1035547
Arizona,2019,6.2347255
Arkansas,1976,6.975
Arkansas,1977,6.45
Arkansas,1978,6.1916666
Arkansas,1979,6.2083335
Arkansas,1980,7.5583334
Arkansas,1981,8.758333
Arkansas,1982,9.9
Arkansas,1983,9.825
Arkansas,1984,8.733334
